bathrooms,bedrooms,building_id,latitude,longitude,manager_id,price,interest_level
1.0,0,26bb785a9878b4b74e8ed7ca9c92730d,40.7802,-73.9545,3e9f0fa34d67e5d61aae56776ecb8cee,1950,low
1.0,3,ddb8663b8c4a089684384035e53d9cb8,40.7446,-73.974,bceb99a75e07af14a0d30676c4f85573,3795,low
1.0,3,75932aedb862b7006a808236d1c2bd66,40.7269,-73.9844,e0b9ecd0b7ea58b95587f9e9d6b7a93d,4350,medium
1.0,2,17ebdbfc3f9c496062cef7fc9baef066,40.7258,-73.9798,9cbfa7a31ae9dfba70b4383636d99788,3350,low
1.0,1,d340cafea0c4f7e82449e07b1a4a24bd,40.7803,-73.9517,3a6208ea0a1fd3d483f82e6e3b96ef77,2012,medium
1.0,0,11e1dec9d14b1a9e528386a2504b3afc,40.7056,-74.0162,e6472c7237327dd3903b3d6f6a94515a,2475,low
1.0,0,18ee54a66cc65cc548d5fd6484ff6a88,40.8241,-73.9416,d7a3443df577b7a71df95b475a1886e1,1300,high
2.0,2,f115a9bff3a9c4e6eedc9114374b3d74,40.7716,-73.9506,f6deb5e37fb5243dce6c6dd98ca7f06c,5850,medium
1.0,2,e3f53dfe045875f250622856c0923deb,40.7404,-73.9795,cc9f025e89487efb14bf6b0cac286ef0,3700,low
1.5,1,7220628f5a2869f31d21697789b07313,40.6953,-73.929,66f8f5a9fff474db421459fd2bfb3032,2495,low
1.0,1,0,40.7823,-73.9504,3734dac511776b0990e90a94d71c8251,3400,medium
1.0,1,0,40.7998,-73.9686,379e9c250a70372e5cb50b3edce15127,2400,low
1.0,2,0,40.8573,-73.931,f35186d124ddcc40fd675605e166c839,1850,low
1.0,1,6c04eb39f9e757c442c5c88a352d70c2,40.776,-73.9528,2d94da7b0535231e6675cbf52a7e7453,3350,medium
1.0,2,f10c6bfd64fe2c38321fd8921de08ff6,40.774,-73.9893,4c3f94bbeb225973612b6004ce5b8bc7,4800,low
1.0,2,14ad2afd9e6a05d708e2982bfd88993b,40.7465,-73.9803,537e06890f6a86dbb70c187db5be4d55,3250,low
1.0,0,02680e0e92ea4bc55c6ed8f44e5ea94a,40.7918,-73.9677,5f60c639225516384a2b6496caa20a2a,2440,high
1.0,1,61069a7cb537d02dd8ca82a6ccff819c,40.7452,-73.9916,7533621a882f71e25173b27e3139d83d,4315,low
1.0,0,0,40.7607,-73.9896,596541586d015600e0ca5de76f6dc8c7,1900,low
